2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948501.272087 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948502.981054 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948504.657406 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948506.330037 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948508.628949 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948510.886761 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948512.583188 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948514.272419 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948515.942518 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948517.633501 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948519.325618 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948522.175233 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948523.865185 (BTC/USDT) @ 91191.38
2025-12-05 09:31:52 | INFO | src.risk.advanced_position_manager | 🔍 [MVP=True] Evaluando posición paper_1764948526.114146 (BTC/USDT) @ 91191.38
2025-12-05 09:31:53 | INFO | INFO | 🛑 Deteniendo Bot de Day Trading...
2025-12-05 09:31:53 | WARNING | INFO | ⚠️ Cerrando posiciones abiertas...
