timestamp,symbol,side,entry_price,exit_price,pnl,size,stop_loss,take_profit,duration_seconds,risk_amount,atr_value,r_value,risk_multiplier,ema_cross_diff_pct,atr_pct,rsi_normalized,price_to_fast_pct,price_to_slow_pct,trend_direction,trend_strength,regime,volatility_level,target,trade_type,exit_type,r_multiple,time_in_trade
2026-01-26 18:41:07.698224,BTC/USDT,BUY,88162.0,88040.49,-6.8913181399997026,0.056714,87721.19,88602.81,30.678315,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-6.8913181399997026,30.678315
2026-01-26 18:41:11.281632,BTC/USDT,BUY,88162.0,88040.49,-6.8913181399997026,0.056714,87721.19,88602.81,32.371026,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-6.8913181399997026,32.371026
2026-01-26 18:41:14.770927,BTC/USDT,BUY,88076.36,88040.49,-2.0363040299997355,0.056769,87635.98,88516.74,30.653811,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-2.0363040299997355,30.653811
2026-01-26 18:41:19.369662,BTC/USDT,BUY,88076.36,88076.9,0.030655259999636517,0.056769,87635.98,88516.74,31.368322,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,0.030655259999636517,31.368322
2026-01-26 18:41:22.861595,BTC/USDT,BUY,88076.36,88076.9,0.030655259999636517,0.056769,87635.98,88516.74,31.410403,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,0.030655259999636517,31.410403
2026-01-26 18:41:26.410265,BTC/USDT,BUY,88076.36,88076.91,0.031222950000165218,0.056769,87635.98,88516.74,32.004558,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,0.031222950000165218,32.004558
2026-01-26 18:41:28.925763,BTC/USDT,BUY,88076.36,88076.9,0.030655259999636517,0.056769,87635.98,88516.74,31.251163,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,0.030655259999636517,31.251163
2026-01-26 18:41:32.949160,BTC/USDT,BUY,88040.5,88076.9,2.0672287999996697,0.056792,87600.3,88480.7,31.410956,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,1,executed,unknown,2.0672287999996697,31.410956
2026-01-26 18:41:36.535117,BTC/USDT,BUY,88040.49,88061.95,1.2187563199995373,0.056792,87600.29,88480.69,31.436598,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,1,executed,unknown,1.2187563199995373,31.436598
2026-01-26 18:41:45.422903,BTC/USDT,BUY,88040.49,88061.95,1.2154085599995383,0.056636,87600.29,88480.69,31.588933,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,1,executed,unknown,1.2154085599995383,31.588933
2026-01-26 18:41:48.968230,BTC/USDT,BUY,88076.9,88061.95,-0.8460055499998353,0.056589,87636.52,88517.28,32.114406,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-0.8460055499998353,32.114406
2026-01-26 18:43:35.225903,BTC/USDT,BUY,88023.41,87995.39,-1.5877813200002309,0.056666,87583.29,88463.53,31.088674,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-1.5877813200002309,31.088674
2026-01-26 18:43:39.473148,BTC/USDT,BUY,88023.41,87991.2,-1.8252118600003628,0.056666,87583.29,88463.53,30.31395,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-1.8252118600003628,30.31395
2026-01-26 18:43:43.495426,BTC/USDT,BUY,88023.41,87991.2,-1.8252118600003628,0.056666,87583.29,88463.53,31.584125,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-1.8252118600003628,31.584125
2026-01-26 18:43:47.570032,BTC/USDT,BUY,88023.41,87991.2,-1.8252118600003628,0.056666,87583.29,88463.53,31.56436,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-1.8252118600003628,31.56436
2026-01-26 18:43:50.086222,BTC/USDT,BUY,88023.41,87991.2,-1.8252118600003628,0.056666,87583.29,88463.53,30.790713,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-1.8252118600003628,30.790713
2026-01-26 18:44:04.566739,BTC/USDT,BUY,88008.27,88002.4,-0.3326881200005608,0.056676,87568.23,88448.31,31.262119,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,-0.3326881200005608,31.262119
2026-01-26 18:44:08.072952,BTC/USDT,BUY,87991.2,88002.4,0.6346927999998351,0.056669,87551.24,88431.16,30.074462,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,normal,True,False,True,BUY,BUY,True,0,executed,unknown,0.6346927999998351,30.074462
